Title,Date_of_Release,Genre,Plot_summary,ImDBRating,Votes,Age_of_content,Crew_dir,Cast_stars,Plot_Keywords
Golmaal,1979,"Comedy, Romance            ",A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.,8.5,"18,673",42,Hrishikesh Mukherjee,"Amol Palekar, Bindiya Goswami, Deven Verma, Shubha Khote","[""man's"", 'simple', 'lie', 'secure', 'job', 'escalates', 'complex', 'lies', 'orthodox', 'boss', 'gets', 'suspicious.']"
Newton,2017,"Comedy, Drama            ",A government clerk on election duty in the conflict ridden jungle of Central India tries his best to conduct free and fair voting despite the apathy of security forces and the looming fear of guerrilla attacks by communist rebels.,7.7,"18,641",4,Amit Masurkar,"Rajkummar Rao, Pankaj Tripathi, Anjali Patil, Raghuvir Yadav","['government', 'clerk', 'election', 'duty', 'conflict', 'ridden', 'jungle', 'central', 'india', 'tries', 'best', 'conduct', 'free', 'fair', 'voting', 'despite', 'apathy', 'security', 'forces', 'looming', 'fear', 'guerrilla', 'attacks', 'communist', 'rebels.']"
Manjhi: The Mountain Man,2015,"Adventure, Biography, Drama            ","Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain.",8.0,"18,515",6,Ketan Mehta,"Nawazuddin Siddiqui, Radhika Apte, Ashutosh Acharya, Shahzad Ahmed","['using', 'hammer', 'chisel,', 'man', 'spends', 'twenty-two', 'years', 'carving', 'road', 'treacherous', 'mountain.']"
Wazir,2016,"Action, Crime, Drama            ",A grief-stricken cop and an amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.,7.1,"18,223",5,Bejoy Nambiar,"Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, John Abraham","['grief-stricken', 'cop', 'amputee', 'grandmaster', 'brought', 'together', 'peculiar', 'twist', 'fate', 'part', 'wider', 'conspiracy', 'darkened', 'lives.']"
Chhalaang,2020,"Comedy, Drama            ","Chhalaang is a hilarious, yet inspirational journey of Montu, a PT Master from a semi govt. funded school for whom teaching PT is just a job. When circumstances put everything he cares for ...                See full summary »",6.8,"18,167",1,Hansal Mehta,"Rajkummar Rao, Nushrat Bharucha, Mohd. Zeeshan Ayyub, Saurabh Shukla","['chhalaang', 'hilarious,', 'yet', 'inspirational', 'journey', 'montu,', 'pt', 'master', 'semi', 'govt.', 'funded', 'school', 'teaching', 'pt', 'job.', 'circumstances', 'put', 'everything', 'cares', '...', 'see', 'full', 'summary', '»']"
Tere Naam,2003,"Action, Drama, Romance            ","Problems arise when Radhey Mohan, a delinquent falls in love with a girl named Nirjara.",7.1,"18,065",18,Satish Kaushik,"Salman Khan, Bhoomika Chawla, Sachin Khedekar, Savita Prabhune","['problems', 'arise', 'radhey', 'mohan,', 'delinquent', 'falls', 'love', 'girl', 'named', 'nirjara.']"
Guzaarish,2010,"Drama, Romance            ","Ethan, a magician rendered paralyzed in an accident, sets off a furor when he makes a petition to the court to end his own life.",7.5,"17,966",11,Sanjay Leela Bhansali,"Hrithik Roshan, Aishwarya Rai Bachchan, Shernaz Patel, Aditya Roy Kapoor","['ethan,', 'magician', 'rendered', 'paralyzed', 'accident,', 'sets', 'furor', 'makes', 'petition', 'court', 'end', 'life.']"
Ek Villain,2014,"Action, Crime, Drama            ","When his wife becomes the latest victim of a serial killer, Guru blurs the line between good and evil in his pursuit of revenge.",6.5,"17,937",7,Mohit Suri,"Sidharth Malhotra, Shraddha Kapoor, Riteish Deshmukh, Shaad Randhawa","['wife', 'becomes', 'latest', 'victim', 'serial', 'killer,', 'guru', 'blurs', 'line', 'good', 'evil', 'pursuit', 'revenge.']"
Hum Dil De Chuke Sanam,1999,"Comedy, Drama, Musical            ","Nandini has to choose between Sameer, the man who taught her to fall in love; and Vanraj, the man from whom she learnt how to abide and fulfill promises of love.",7.5,"17,902",22,Sanjay Leela Bhansali,"Aishwarya Rai Bachchan, Salman Khan, Ajay Devgn, Zohra Sehgal","['nandini', 'choose', 'sameer,', 'man', 'taught', 'fall', 'love;', 'vanraj,', 'man', 'learnt', 'abide', 'fulfill', 'promises', 'love.']"
Good Newwz,2019,Comedy            ,Two couples with the same surnames pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.,6.9,"17,831",2,Raj Mehta,"Akshay Kumar, Kareena Kapoor, Diljit Dosanjh, Kiara Advani","['two', 'couples', 'surnames', 'pursue', 'in-vitro', 'fertilization', 'wait', 'upcoming', 'babies.', 'trouble', 'ensues', 'find', 'sperms', 'couple', 'mixed', 'other.']"
Kabhi Haan Kabhi Naa,1994,"Comedy, Drama, Music            ",A dreamer falls for a girl who is in love with someone else and tries to create a rift between her and the man she loves.,7.8,"17,807",27,Kundan Shah,"Shah Rukh Khan, Suchitra Krishnamoorthi, Deepak Tijori, Rita Bhaduri","['dreamer', 'falls', 'girl', 'love', 'someone', 'else', 'tries', 'create', 'rift', 'man', 'loves.']"
Torbaaz,2020,"Action, Drama, Sport            ","A man rises from personal tragedy to lead a group of children from a refugee camp to victory, transforming their lives through the game of cricket.",6.7,"17,704",1,Girish Malik,"Sanjay Dutt, Nargis Fakhri, Rahul Dev, Kuwaarjeet Chopraa","['man', 'rises', 'personal', 'tragedy', 'lead', 'group', 'children', 'refugee', 'camp', 'victory,', 'transforming', 'lives', 'game', 'cricket.']"
Baadshah,1999,"Action, Comedy, Crime            ",A small time detective is mistaken as a CBI agent and gets embroiled in a deadly mission to save the Chief Minister from an assassination attempt.,6.9,"17,634",22,"s:Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Shah Rukh Khan, Twinkle Khanna, Amrish Puri, Johnny Lever","['small', 'time', 'detective', 'mistaken', 'cbi', 'agent', 'gets', 'embroiled', 'deadly', 'mission', 'save', 'chief', 'minister', 'assassination', 'attempt.']"
Dabangg 2,2012,"Action, Comedy, Crime            ",Chulbul Pandey invites a fresh trouble when he kills the brother of a notorious politician and the former swears to wreak havoc in his life.,4.8,"17,619",9,Arbaaz Khan,"Salman Khan, Sonakshi Sinha, Prakash Raj, Vinod Khanna","['chulbul', 'pandey', 'invites', 'fresh', 'trouble', 'kills', 'brother', 'notorious', 'politician', 'former', 'swears', 'wreak', 'havoc', 'life.']"
Khuda Haafiz,2020,"Action, Adventure, Drama            ",A newly married couple's life falls in jeopardy when the wife goes missing under mysterious circumstances.,7.4,"17,599",1,Faruk Kabir,"Vidyut Jammwal, Shivaleeka Oberoi, Annu Kapoor, Aahana Kumra","['newly', 'married', ""couple's"", 'life', 'falls', 'jeopardy', 'wife', 'goes', 'missing', 'mysterious', 'circumstances.']"
Ready,2011,"Action, Comedy, Romance            ","Set in Thailand and India, a case of mistaken identity leads to love, and a man and his family concoct a grand scheme to win over the hearts of a woman and her greedy, conniving uncles.",4.8,"17,551",10,Anees Bazmee,"Salman Khan, Asin Thottumkal, Paresh Rawal, Mahesh Manjrekar","['set', 'thailand', 'india,', 'case', 'mistaken', 'identity', 'leads', 'love,', 'man', 'family', 'concoct', 'grand', 'scheme', 'win', 'hearts', 'woman', 'greedy,', 'conniving', 'uncles.']"
Bhuj: The Pride of India,2021,"Action, Drama, History            ",Bhuj the pride of India is a story about 300 Gujarati women who helped the Indian Airforce during Bangladesh and Pakistan War,4.7,"17,485",0,Abhishek Dudhaiya,"Ajay Devgn, Sanjay Dutt, Sonakshi Sinha, Sharad Kelkar","['bhuj', 'pride', 'india', 'story', '300', 'gujarati', 'women', 'helped', 'indian', 'airforce', 'bangladesh', 'pakistan', 'war']"
Dabangg 3,2019,"Action, Comedy, Crime            ","Chulbul Pandey encounters an enemy from his past, and his origin story as the fearless cop unfolds.",3.0,"17,230",2,Prabhu Deva,"Salman Khan, Sudeep, Sonakshi Sinha, Saiee Manjrekar","['chulbul', 'pandey', 'encounters', 'enemy', 'past,', 'origin', 'story', 'fearless', 'cop', 'unfolds.']"
Rajneeti,2010,"Crime, Drama, Thriller            ","When the American-educated scion of a powerful Indian family returns to the subcontinent, his first taste of power starts him down a corrupt path.",7.1,"17,076",11,Prakash Jha,"Ranbir Kapoor, Ajay Devgn, Nana Patekar, Katrina Kaif","['american-educated', 'scion', 'powerful', 'indian', 'family', 'returns', 'subcontinent,', 'first', 'taste', 'power', 'starts', 'corrupt', 'path.']"
Oye Lucky! Lucky Oye!,2008,"Action, Comedy, Crime            ","Lovinder Singh, a thief now in custody and facing trial, reflects on his life of crime while the press reflect on how he managed to get away with so much before being arrested.",7.7,"17,011",13,bakar Banerjee,"Abhay Deol, Paresh Rawal, Neetu Chandra, Archana Puran Singh","['lovinder', 'singh,', 'thief', 'custody', 'facing', 'trial,', 'reflects', 'life', 'crime', 'press', 'reflect', 'managed', 'get', 'away', 'much', 'arrested.']"
Once Upon a Time in Mumbaai,2010,"Action, Crime, Drama            ","As a smuggler rises to power in in 1970s Mumbai, a younger gangster seeks to overthrow him and a police officer is caught in the middle.",7.4,"16,988",11,Milan Luthria,"Ajay Devgn, Emraan Hashmi, Kangana Ranaut, Prachi Desai","['smuggler', 'rises', 'power', '1970s', 'mumbai,', 'younger', 'gangster', 'seeks', 'overthrow', 'police', 'officer', 'caught', 'middle.']"
Kaminey,2009,"Action, Crime, Drama            ","The desperate lives of two estranged twin brothers converge over missing drugs, politics, racial prejudice, corrupt cops and an unplanned pregnancy.",7.4,"16,874",12,Vishal Bhardwaj,"Shahid Kapoor, Priyanka Chopra Jonas, Deb Mukherjee, Shivkumar Subramaniam","['desperate', 'lives', 'two', 'estranged', 'twin', 'brothers', 'converge', 'missing', 'drugs,', 'politics,', 'racial', 'prejudice,', 'corrupt', 'cops', 'unplanned', 'pregnancy.']"
Raat Akeli Hai,2020,"Crime, Drama, Mystery            ",The film follows a small town cop who is summoned to investigate the death of a politician which gets complicated by the victim's secretive family and his own conflicted heart.,7.3,"16,766",1,Honey Trehan,"Nawazuddin Siddiqui, Radhika Apte, Aditya Srivastav, Padmavati Rao","['film', 'follows', 'small', 'town', 'cop', 'summoned', 'investigate', 'death', 'politician', 'gets', 'complicated', ""victim's"", 'secretive', 'family', 'conflicted', 'heart.']"
Kesari,2019,"Action, Drama, History            ","Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10,000 Afghans in 1897.",7.4,"16,752",2,Anurag Singh,"Akshay Kumar, Parineeti Chopra, Suvinder Vicky, Vansh Bhardwaj","['based', 'incredible', 'true', 'story', 'battle', 'saragarhi', 'army', '21', 'sikhs', 'fought', '10,000', 'afghans', '1897.']"
Student of the Year,2012,"Comedy, Drama, Music            ",Several alumni reminisce about their final year at St. Theresa's College and the events that shaped their lives.,5.3,"16,689",9,Karan Johar,"Sidharth Malhotra, Alia Bhatt, Varun Dhawan, Rishi Kapoor","['several', 'alumni', 'reminisce', 'final', 'year', 'st.', ""theresa's"", 'college', 'events', 'shaped', 'lives.']"
Gangaajal,2003,"Action, Crime, Drama            ","An IPS officer motivates and leads a dysfunctional, corrupt police force of Tezpur to fight against the corrupt politician.",7.8,"16,490",18,Prakash Jha,"Ajay Devgn, Gracy Singh, Mohan Joshi, Yashpal Sharma","['ips', 'officer', 'motivates', 'leads', 'dysfunctional,', 'corrupt', 'police', 'force', 'tezpur', 'fight', 'corrupt', 'politician.']"
Iqbal,2005,"Drama, Sport            ","Iqbal, the deaf and mute son of a farmer, has a passion for the game of cricket and seeks the tutelage of a washed-up, alcoholic ex-player.",8.1,"16,439",16,Nagesh Kukunoor,"Shreyas Talpade, Naseeruddin Shah, Shweta Basu Prasad, Yatin Karyekar","['iqbal,', 'deaf', 'mute', 'son', 'farmer,', 'passion', 'game', 'cricket', 'seeks', 'tutelage', 'washed-up,', 'alcoholic', 'ex-player.']"
Raid,2018,"Action, Crime, Drama            ",A fearless income tax officer raids the mansion of the most powerful man in Lucknow after someone mysteriously draws his attention towards the evidence.,7.4,"16,334",3,"Raj Kumar Gupta', ""","Ajay Devgn, Ileana D'Cruz, Amit Bimrot, Saurabh Shukla""","['fearless', 'income', 'tax', 'officer', 'raids', 'mansion', 'powerful', 'man', 'lucknow', 'someone', 'mysteriously', 'draws', 'attention', 'towards', 'evidence.']"
Dil Dhadakne Do,2015,"Comedy, Drama, Romance            ",The Mehra family must contemplate over their way of living and their love lives while on a cruise celebrating their 30th wedding anniversary.,6.9,"16,307",6,Zoya Akhtar,"Anil Kapoor, Shefali Shah, Priyanka Chopra Jonas, Ranveer Singh","['mehra', 'family', 'must', 'contemplate', 'way', 'living', 'love', 'lives', 'cruise', 'celebrating', '30th', 'wedding', 'anniversary.']"
Sarkar,2005,"Action, Crime, Drama            ","Subhash Nagre runs a parallel government in the city where he has a cult following. When his enemies plot to murder him, his son takes charge and stands up against them.",7.6,"16,293",16,Ram Gopal Varma,"Amitabh Bachchan, Abhishek Bachchan, Kay Kay Menon, Supriya Pathak","['subhash', 'nagre', 'runs', 'parallel', 'government', 'city', 'cult', 'following.', 'enemies', 'plot', 'murder', 'him,', 'son', 'takes', 'charge', 'stands', 'them.']"
Lootcase,2020,"Comedy, Crime            ","Nandan Kumar comes across a suitcase and discovers it is full of cash. He takes the suitcase and soon finds himself being chased by a notorious gangster, an honest cop and a minister, who want the suitcase at any cost.",7.6,"16,205",1,Rajesh Krishnan,"Kunal Khemu, Rasika Dugal, Vijay Raaz, Ranvir Shorey","['nandan', 'kumar', 'comes', 'across', 'suitcase', 'discovers', 'full', 'cash.', 'takes', 'suitcase', 'soon', 'finds', 'chased', 'notorious', 'gangster,', 'honest', 'cop', 'minister,', 'want', 'suitcase', 'cost.']"
Shahid,2012,"Biography, Drama            ","The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice.",8.2,"16,032",9,Hansal Mehta,"Rajkummar Rao, Prabhleen Sandhu, Mohd. Zeeshan Ayyub, Baljinder Kaur","['account', 'human', 'rights', 'lawyer', 'shahid', 'azmi,', 'ordinary', 'citizen', 'extraordinary', 'commitment', 'justice.']"
Golmaal: Fun Unlimited,2006,"Action, Comedy, Drama            ",Four runaway crooks take shelter in a bungalow which is owned by a blind couple.,7.4,"15,991",15,Rohit Shetty,"Ajay Devgn, Arshad Warsi, Sharman Joshi, Tusshar Kapoor","['four', 'runaway', 'crooks', 'take', 'shelter', 'bungalow', 'owned', 'blind', 'couple.']"
Band Baaja Baaraat,2010,"Comedy, Drama, Romance            ","Shruti and Bittoo become partners in their very own ""Wedding planning ka bijness"" in Delhi and in the process discover friendship, love and one another.",7.2,"15,929",11,Maneesh Sharma,"Ranveer Singh, Anushka Sharma, Ranjit Batra, Manu Rishi Chadha","['shruti', 'bittoo', 'become', 'partners', '""wedding', 'planning', 'ka', 'bijness""', 'delhi', 'process', 'discover', 'friendship,', 'love', 'one', 'another.']"
Race 2,2013,"Action, Crime, Thriller            ",Ranvir treads through the world of the Indian mafia in Turkey as he looks to avenge the death of his lover and partner in crime.,5.4,"15,872",8,"s:Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Saif Ali Khan, Anil Kapoor, John Abraham, Deepika Padukone","['ranvir', 'treads', 'world', 'indian', 'mafia', 'turkey', 'looks', 'avenge', 'death', 'lover', 'partner', 'crime.']"
Kalank,2019,"Drama, Romance            ","The lives of six enigmatic characters become entangled whilst in search of love, but separated by the dichotomy between the two worlds of Husnabad, a town in North India.",3.5,"15,840",2,Abhishek Varman,"Varun Dhawan, Alia Bhatt, Madhuri Dixit, Sanjay Dutt","['lives', 'six', 'enigmatic', 'characters', 'become', 'entangled', 'whilst', 'search', 'love,', 'separated', 'dichotomy', 'two', 'worlds', 'husnabad,', 'town', 'north', 'india.']"
Baghban,2003,"Drama, Romance            ","An elderly couple wish their children to care for them in their old age. But their children see and treat them as a burden, and they must struggle to regain their worth and dignity to themselves and others.",7.4,"15,751",18,Ravi Chopra,"Amitabh Bachchan, Hema Malini, Salman Khan, Mahima Chaudhry","['elderly', 'couple', 'wish', 'children', 'care', 'old', 'age.', 'children', 'see', 'treat', 'burden,', 'must', 'struggle', 'regain', 'worth', 'dignity', 'others.']"
